dimension,codelist_id,agency_id,version,code,name_en,name_ja
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,CONILPEMP,Industry contribution to business sector labour productivity (employment based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,CONILPHRS,Industry contribution to business sector labour productivity (hour based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,EMP,Employment,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,EMP_PCCONGE,Contribution of employment to GVA growth (employment based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,GDP,Gross domestic product,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,GDPEMP,GDP per person employed,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,GDPHRS,GDP per hour worked,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,GDPKSER,Capital productivity (GDP based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,GDPPOP,GDP per capita,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,GNIHRS,Gross national income per hour worked,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,GVA,Gross value added,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,GVAEMP,Gross value added per person employed,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,GVAHRS,Gross value added per hour worked,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,GVAKSER,Capital productivity (GVA based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,HRSAV,Average hours worked per person employed,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,HRSPOP,Labour utilisation (hours worked per head of population),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,HRSTO,Hours worked for total employment,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,HRSTO_PCCONG,Contribution of hours worked to GVA growth,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,KSER,Capital services,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,KSERHRS,Capital deepening,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,KSERHRS_PCCONLP,Contribution of capital deepening to labour productivity growth,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,KSERPER_PCCONLPE,Contribution of capital deepening to labour productivity growth (employment based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,KSER_PCCONG,Contribution of capital services to GVA growth,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,KSER_PCCONGE,Contribution of capital services to GVA growth (employment based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,KSER_PCCONK,Contribution to total capital services,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,KY,Capital stock to output ratio,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,LCEMP,Labour compensation per employee,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,LCHRS,Labour compensation per hour worked,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,LCOST,Share of labour input costs in total costs (hour based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,LCOSTE,Share of labour input costs in total costs (employment based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,LCTOT,Total labour compensation (hour based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,LCTOTE,Total labour compensation (employment based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,MFPE,Multifactor productivity (employment based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,MFPH,Multifactor productivity (hour based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,MFP_PCCONG,Contribution of MFP to GVA growth (hour based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,MFP_PCCONGE,Contribution of MFP to GVA growth (employment based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,MFP_PCCONLP,Contribution of MFP to labour productivity growth (hour based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,MFP_PCCONLPE,Contribution of MFP to labour productivity growth (employment based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,PCCONG,Contribution of asset services to GVA growth,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,PCCONK,Contribution of asset services to total capital growth,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,POP,Population,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,SAL,Number of employees,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,SELF,Number of self-employed,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,TOTINP,Total factor inputs,
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,ULCE,Unit labour costs (employment based),
MEASURE,CL_MEASURE_PROD,OECD.SDD.TPS,1.1,ULCH,Unit labour costs (hour based),
